CodigoInterno,NombreInvima,DescripcionComercial,CodigoInvima,Cum
C595082,METOPROLOL100 MG,CAJA PLEGADIZA POR 30 TABLETAS EN BLÍSTER PVC - ALUMINIO POR 10 TABLETAS CADA UNO.,INVIMA 2023M-0003250-R2,19943526-9
C13462,ZOLPIDEM TABLETAS RECUBIERTASPOR 10 MG.,1Z1033411000100SIN DATOZOLPIDEM 10.0000 MG TABLETAS DE LIBERACION NO MODIFICADA ORAL (GENFAR) TABLETA 1.0000U / CAJA X 14. CAJA PLEGADIZA POR 14 TABLETAS EN 2 BLÍSTER PVC/PVDC TRANSPARENTE/ ALUMINIO X 7 TABLETAS.,INVIMA 2021M-0005626-R2,19963349-4
C605070,ALLEGRA D TABLETAS RECUBIERTAS,ESTUCHE PVP POR 10 COMPRIMIDOS BLISTER ALU/ALU.,INVIMA 2009 M-012624 R-1,229774-1
C595111,BETOPROLOL 5 MG/5/ML. AMPOULEPACK,CAJA POR 8 AMPOULEPACK (ENVASE EN POLIETILENO DE BAJA DENSIDAD) POR 5 ML,INVIMA 2012M-012597-R2,39227-5
C341192,IRBESARTAN 300 MG,CAJA PLEGADIZA POR 14 TABLETAS CUBIERTAS EN BLISTER PVC/PVDC BLANCO - ALUMINIO POR 7 TABLETAS CUBIERTAS,INVIMA 2022M-0010301-R1,20008409-15
C695425,PANGETAN NF TABLETAS,CAJA PLEGADIZA POR 100 TABLETAS EN LAMINADO/FOIL DE 2 CAPAS (PAPEL POUCH - RESINA DE SELLE),INVIMA 2023M-0000660-R3,19924345-36
C150202,COMPLEBREZ 6MCG/200 MCG INHALACION PRESURIZADA,CAJA CON UN CONTENEDOR DE ALUMINIO CON VÁLVULA DOSIFICADORA QUE SUMINISTRA 150 DOSIS MEDIDAS,INVIMA 2016M-0017389,20101936-1
C00567,ZERBAXA ® 1 G/0.5 G,CAJA PLEGADIZA CON 10 VIALES DE VIDRIO CLARO TIPO I QUE CONTIENEN EL POLVO PARA RECONSTITUIR CON UN TAPÓN DE BROMOBUTILO Y SELLO TIPO FLIP-OFF,INVIMA 2023M-0018164-R1,20104180-1
C07988,MIGRADORIXINA® COMPRIMIDOS,CAJA POR 10 COMPRIMIDOS RECUBIERTOS EN BLISTER ALUMINIO/PVC/PE/PVDC INCOLORO,INVIMA 2017M-0000431-R2,226463-8
C525185,BETADUO® 2ML,CAJA PORSIN DATO1 JERINGA PRELLENADASIN DATOAMBAR PORSIN DATO2ML CON AGUJA HIPODERMICA BIOSEGURA ESTERIJECT( REGISTRO SANITARIO INVIMA 2016DM- 0015162).,INVIMA 2023M-0007080-R2,19974890-1
C630145,GLAUCOTENSIL® T,FRASCO GOTERO PLASTICO DE PE BLANCO X 5. 0 ML,INVIMA 2023M-0002144-R2,19934159-4
C10549,VIBAZINA TABLETAS,CAJA DE CARTÓN X 40SIN DATOTABLETAS EN BLISTER ALUMINIO/PVC ÁMBAR.,INVIMA 2019M-010149-R2,221793-2
C268100,GENZYME-RENAGEL 800 MG TABLETAS,CAJA FRASCO DE PEAD COLOR BLANCO X 180 TABLETAS CUBIERTAS. CON TAPA DE SEGURIDAD CON PRECINTO DE ROPTURA,INVIMA 2019M-0003667-R2,19944743-1
C097017,TEMODAL® CAPSULAS 250 MG,CAJA X 5 SACHETS ( LAMINADO PET / FOIL PEBD)SIN DATOCON 1 CÁSULASIN DATOC/U,INVIMA 2016M-014875-R2,19907389-3
C09628,SYSTANE GOTAS LUBRICANTES OCULARES,CAJA DE CARTON CON UN FRASCO GOTERO DE POLIETILENO DE BAJA DENSIDAD POR 15ML CON TAPA DE POLIPROPILENO CON BANDA DE SEGURIDAD,INVIMA 2014M-0002655-R1,19937957-7
C253428,ZIDO H ® SOLUCION ORAL 10MG/ML,CAJA PLEGADIZA CON FRASCO DE POLIETILENO DE ALTA DENSIDAD COLOR BLANCO OPACO CON SELLO DE INDUCCIÓN Y TAPA DE POLIPROPILENO BLANCA OPACA A PRUEBA DE NIÑOS. CONTENIDO DE 240ML DE SOLUCIÓN ORAL.,INVIMA 2014M-0015477,20065187-1
C052019,LUMBAL® TABLETA RECUBIERTA,CAJA POR 48 TABLETAS EN BLISTER PVC/PE/PVDC INCOLORO/ALUMINIO,INVIMA 2023M-0001294-R3,19915081-28
C665120,KYPROLIS®,CAJA DE CARTÓN POR UNA BANDEJA TERMOFORMADA. CON UN FRASCO VIAL DE VIDRIO TIPO I INCOLORO. CON TAPÓN DE CAUCHO CLOROBUTILO. DE UN SOLO USO. CONTENIDO 60 MG DE CARFILZOMIB COMO POLVO LIOFILIZADO.,INVIMA 2020M-0016431-R1,20087826-3
C265012,ACICLOVIR POLVO PARA SUSPENSION 200 MG /5ML,CAJA DE CARTULINA CON FRASCO PLÁSTICO PEAD COLOR BLANCO CON TAPA PLÁSTICA DE POLIPROPILENO POR 30 G. DE POLVO PARA RECONSTITUIR A UN VOLUMEN DE 90 ML + CUCHARA DOSIFICADORA.,INVIMA 2020M-0003021-R2,19940740-2
C295102,MONTELUKAST 10 MG TABLETA CUBIERTA,PRESENTACIÓN INSTITUCIONAL: CAJA POR 60 TABLETAS RECUBIERTAS EN BLISTER PVDC TRANSLUCIDO INCOLORO / ALUMINIO,INVIMA 2022M-0002821-R2,19939789-6
C941183,DEFEROL® 14000 UI,CAJA CON UN BLISTER POR 4 CÁPSULAS EN EMPAQUE INDIVIDUAL. TIPO BLÍSTER PVC/PVDC. TRANSPARENTE/ FOIL ALUMINIO. 4 CAPSULAS POR CAJA IUM:1C1033991000101,INVIMA 2020M-0019910,20176701-1
C253427,LAVUDIN® SOLUCIÓN ORAL,CAJA POR 1 FRASCO EN HDPE CON TAPA DE POLIPROPILENO (PP) BLANCA RESISTENTE A NIÑOS X 240ML,INVIMA 2014M-0015143,20065879-1
C991148,PASEDOL TABLETAS,PRESENTACION COMERCIAL E INSTITUCIONAL: CAJA POR 1000 TABLETAS EN SOBRE POR 4 TABLETAS,INVIMA 2016M-015044-R2,19913783-17
C120225,LURAP ® 80,1L1028181001100 - CAJA POR 30 TABLETAS RECUBIERTAS EN BLÍSTER DE ALUMINIO + PVC ACLAR,INVIMA 2020M-0019756,20156886-2
C110891,SOMAZINA ® 1000 MG SOLUCIÓN ORAL,CAJA POR 6 SOBRES TERMOSELLADOS CONSTITUIDOS POR UN COMPLEJO DE SURLYN/ALUMINIO/PX/PET CON 10 ML DE SOLUCIÓN ORAL POR SOBRE,INVIMA 2013M-0014587,20062745-1
C495591,EUTARPAN® 10 MG TABLETAS,CAJA POR 250 TABLETAS EN BLISTER PVC TRANSPARENTE - ALUMINIO POR 10 TABLETAS CADA UNO.,INVIMA 2020M-0009494-R1,20004887-4
C5854421,HERZUMA® 150MG POLVO LIOFILIZADO,CAJA POR UN VIAL DE VIDRIO TRANSPARENTE TIPO I DE 20 ML CON LAPÓN DE CAUCHO BUTÍLICO REVESTIDO CON FLUROTEC,INVIMA 2021MBT-0020166,20176291-1
C07201,MODUSIK - A OFTENO,CAJA CON FRASCO EN POLIETILENO DE BAJA DENSIDAD POR 5 ML,INVIMA 2016M-0002329-R1,19932152-2
C260620,SOLIQUA® 30-60,ESTUCHE X 1 LAPICERO PRELLENADO DOSIFICADOR ( CON CARTUCHO X 3ML) DESECHABLE,INVIMA 2019M-0018727,20128168-1
C01826,CLOBETASOL PROPIONATO 0.05% CREMA,CAJA PLEGADIZA CON UN TUBO COLAPSIBLE LACADO DE ALUMINIO CON TAPA EN PEAD Y LINNER BLANCO EN PEAD POR 30G,INVIMA 2022M-0011205-R2,20019337-4
C102037,CITABICLOS® 100,CAJA X 50 CAPSULAS BLANDAS EN BLISTER ALUMINIO/ALUMINIO,INVIMA 2015M-0016132,20070206-1
C05022,FLEXBUMIN 20%,BOLSAS EN PVDCSIN DATOGRADO MEDICO POR 50ML.,INVIMA 2019M-0007240-R1,19968918-1
C140192,MOPERID TABLETAS,CAJA PLEGADIZASIN DATOCON BLISTER EN PVC/PVDC INCOLORO/ALUMINIO PORSIN DATO100SIN DATOTABLETAS,INVIMA 2019M-0006733-R1,19965794-5
C9980786,SOLUFOS® 500 MG,CAJA PLEGADIZA CON UN FRASCO DE VIDRIO TIPO III POR 24 CAPSULAS CON CIERRE PILFER - PROOF,INVIMA 2019M-0015579-R1,20071649-1
C05202,SHAMPOO CON KETOCONAZOL 1 %,FRASCO EN POLIETILENO DE ALTA DENSIDAD POR 120 ML,INVIMA 2009 M-013362-R1,19902578-1
C350020,BETAMETASONA 4 MG/ML,CAJA POR 100SIN DATOAMPOLLAS POR 1 ML VIDRIO TIPO I AMBAR,INVIMA 2021M-0004861-R2,19953549-7
C2950463,ZOPLIMAX® 3,CAJA DE CARTULINA CON BLISTER DE PVC/PE/PVDC TRISTAR ULTRA POR 30 COMPRIMIDOS RECUBIERTOS,INVIMA 2023M-0018078-R1,20111857-10
C690002,LIZGRAM ® 10MG CAPSULAS DURAS,1L1006491003100 CAJA PLEGADIZA POR 21 CÁPSULAS DURAS EN BLISTER DE ALUMINIO ALU-ALU,INVIMA 2021M-0020271,20138974-5
C095016,SATIVEX,IUM 2C1040551000100 CANNABIDIOL 2500.0000 MG/CANNABINOL 2700.0000 MG OTRAS SOLUCIONES BUCAL (SATIVEX) VIAL 10.0000ML / CAJA X 3. CAJA PLEGADIZA CON 3 VIALES COLOR ÁMBAR TIPO I POR 10 ML. REVESTIDO CON UNA CUBIERTA DE PLÁSTICO CAFÉ. EQUIPADO CON UNA BOMBA DOSIFICADORA QUE POSEE UN TUBO DE INMERSIÓN DE POLIPROPILENO Y UN CUELLO DE ELASTÓMERO CUBIERTO CON UN CAPUCHÓN DE POLIETILENO.,INVIMA 2022M-0017373-R1,20098801-3
C031183,DICETEL® DUO,CAJA POR 24 TABLETAS RECUBIERTAS EN BLISTER DE ALUMINIO-ALUMINIO (POLAMIDA-OPA. FOIL DE ALUMINIO. FILM DE PVC) MAS PAPEL ALUMINIO EN CAJA DE CARTÓN.,INVIMA 2016M-0017223,20066852-4
C07417,PRAGMATEN® 20 MG CAPSULAS,CAJA POR 100 CÀPSULAS EN BLISTER ALUMINIO/PVC TRASPARENTE POR 10 CAPSULAS,INVIMA 2017M-012120-R3,38369-32
C275333,IPICLAV® 1 G,CAJA PLEGADIZA POR 14 TABLETAS EN BLISTER EN PVC/ PE/ PVDC Y FOIL DE ALUMINIO,INVIMA 2022M-0012739-R2,20032447-4
C01508,CARBIDOPA X 25 MG Y LEVODOPA X 250 MG,CAJA X 30 TABLETAS EN BLISTER PVC/PVDC/ALUMINIO POR 10 TABLETAS CADA BLISTER,INVIMA2022M-007252-R2,1980397-1
C102027,OLMEDOXTAN H® 40MG/12.5MG,CAJA PLEGADIZA CONTENIENDO TRES BLISTER DE ALUMINIO/ALUMINIO POR 10 TABLETAS RECUBIERTAS CADA UNO,INVIMA 2017M-0017565,20103712-1
C150382,INFLACOR®RETARDINYECTABLE 1 ML,CAJA POR UNA AMPOLLA DE VIDRIO TIPO I INCOLORO POR 1 ML + JERINGA DESCARTABLE (REGISTRO SANITARIO NO. INVIMA 2015DM-0003324-R1),INVIMA 2021M-0009967-R1,20009479-2
C102081,UNGUENTO BABY DERM OSA,ENVASE EN POLIETILENO DE ALTA DENSIDAD BLANCO X 500 G Y TAPA EN POLIETILENO DE ALTA DENSIDAD AZUL. IUM 1Z1025491000103,INVIMA 2019M-0018968,20141267-4
C515387,MOTRIN® 600,CAJA POR 30SIN DATOTABLETAS EN BLISTER DESIN DATOPVC/ALUMINIO.,INVIMA 2019M-012623-R2,19900511-3
C06159,TESTOVIRON® DEPOT POR 250 MG,CAJA POR 1 AMPOLLA DE VIDRIO INCOLORO TIPO I CON 1 ML. CON CÓDIGO COLOR Y TAPÓN EN EL EXTREMO DE ESTIRENO-BUTADIENO GRIS (4404). CON ÉMBOLO DE BROMOBUTILO GRIS OSCURO OSCURO,INVIMA 2023M-001042-R5,31279-1
C075611,OMEPRAZOL 20 MG CÁPSULAS,SOBRE PROLAM POR 20 BLISTER PVC/PROLAM (300 CÁPSULAS),INVIMA 2021M-013239-R3,41072-14
C176631,DOMIDE 10 MG CAPSULAS,1L1006491001100 LENALIDOMIDA 10.0000 MG CAPSULAS DE LIBERACION NO MODIFICADA ORAL (LEGRAND&DOMIDE) CAPSULA 1.0000U / CAJA X 21. CAJA POR 21 CÁPSULAS EN BLÍSTER OPA/AL/PVC/AL,INVIMA 2021M-0020467,20130206-1
C560290,XALATAN ® 50 MCG / ML SOLUCION OFTALMICA,CAJA CON UN FRASCO GOTERO X 2.5 ML. FRASCO EN POLIETILENO CON TAPA DE POLIETILENO DE BAJA DENSIDAD.,INVIMA 2019M-007125-R2,213704-1
C03684,GABAPENTIN400 MG,CAJA POR 30 CÁPSULAS EN BLISTERSIN DATOPVC/PVDC - ALUMINIO POR 10 CÁPSULAS.,INVIMA 2015M-0004000 R1,19948604-3
C99913281,PENICILINA G BENZATINICA 1.200.000 UI,CAJA POR 10 VIALES DE VIDRIO TIPO I INCOLORO. TAPON DE BROMOBUTILO GRIS Y AGRAFE DE ALUMINIO TIPO FLIP OFF CEBRA AMARILLO,INVIMA 2020M-011504-R2,219603-7
C465205,EXELON®CAPSULAS 4.5 MG,CAJA POR 28 CÁPSULAS DURAS EN BLISTER PVC-ALU.,INVIMA 2010M-0010650,20008022-5
C9991775,STANIA,2E1031291001100 CAJA POR 1 ANILLO VAGINAL EN SACHET DE ALUMINIO,INVIMA 2020M-0019764,20177543-1
C750189,BRONCHO-VAXOM®CAPSULAS ADULTOS,CAJA POR 30 CAPSULAS EN BLISTER ALUMINIO/ALUMINIO CADA BLISTER POR 10 CAPSULAS,INVIMA 2023MB-007838-R4,5581-6
C770170,JOLIAN ®,CAJA PLEGADIZA POR 28 COMPRIMIDOS RECUBIERTOS: 1 BLÍSTER EN PVC TRANSPARENTE /PVDC/AL POR (24 COMPRIMIDOS ACTIVOS + 4 COMPRIMIDOS PLACEBO).,INVIMA 2022M-0017174-R1,20094754-1
C425121,EMEND ® IV 150MG,CAJA POR 1 VIAL DE VIDRIO TIPO I DE 10ML. INCLUYE INSERTO,INVIMA 2017M-0012508-R1,20016452-1
C068965,MOXIFLOXACINA400 MG,CAJA POR 7 TABLETAS CUBIERTAS EN BLISTER ALU/ALU EN UN BLISTER POR 7 TABLETAS,INVIMA 2022M-0011418-R2,20020358-8
C585220,DILATREND TABLETAS 6.25MG,CAJA X 28 TABLETAS EN BLISTER ALUMINIO/ALUMINIO,INVIMA 2023M-010274-R3,218019-1
C09548,SILDENAFILO 25 MG TABLETAS RECUBIERTAS,1S1008541000101 - SILDENAFILO 25.0000 MG TABLETAS DE LIBERACION NO MODIFICADA ORAL (WINTHROP) TABLETA 1.0000U / CAJA X 4 (CAJA POR 4 TABLETAS RECUBIERTAS. EN BLÍSTER PVC TRANSPARENTE/ALUMINIO,INVIMA 2023M-0018099-R1,20118033-2
C670470,SEGREGAM 20 MG,CAJA POR 28 TABLETAS CON CUBIERTA ENTERICA. EN BLISTER ALU/ALU.,INVIMA 2022M-0007913-R1,19981211-4
C901456,MELATONINA 3 MG,FRASCO KODAPACK PET COPOLYESTER 9921 AZUL DE 150CC. TAPA DE SEGURIDAD EN POLIPROPILENO ROSCA INTERNA DE 38MM COLOR BLANCO. BISAGRA DE SEGURIDAD. LINER FOAM METALIZADO POR 60 CÁPSULAS BLANDAS,INVIMA 2020M-0016353-R1,20087834-2
C995960,AMPHOLIP ®50 MG/10 ML,CAJA CON UN FRASCO VIAL POR 10 ML DE VIDRIO TIPO I INCOLORO TRANSPARENTE. TAPON DE CAUCHO Y AGRAFE DESIN DATOALUMINIO + UNA AGUJA 18G 1 1/2 CON FILTRO,INVIMA 2021M-0016396-R1,20081868-1
C03319,FLUMETOL NF OFTENO,CAJA DE CARTÓN CON FRASCO X 5 ML . FRASCO DE POLIETILENO DE BAJA DENSIDAD Y TAPA BLANCA PARA GOTERO DE POLIPROPILENO.,INVIMA 2023M-0001782-R3,19931060-1
C104121,ROSUVASTATINA TABLETAS RECUBIERTAS 20 MG,CAJA POR 250 TABLETAS EN BLISTER POR 10 TABLETAS RECUBIERTAS,INVIMA 2022M-0016835-R1,20078974-42
C071119,ADEMPAS® 0.5 MG,USO INSTITUCIONAL: CAJA PLEGADIZA POR 42 COMPRIMIDOS RECUBIERTOS EN 2 BLISTERS PP TRANSPARENTE / ALUMINIO X 21 TABLETAS RECUBIERTAS EN C/U.,INVIMA 2023M-0015471-R1,20061396-2
C630046,BETARRETIN® CREMA 0.025%.,CAJA PLEGADIZA CON UN TUBO COLAPSIBLE DE ALUMINIO POR 30 G,INVIMA 2023M-012182-R4,38864-1
C10459,TRACLEER® 125 MG TABLETAS RECUBIERTAS DE PELICULA.,CAJA CON UN FRASCO DE PEAD CON DESECANTE Y TAPA DE PP. POR 60 TABLETAS CUBIERTAS CON PELICULA.,INVIMA 2021M-0008501-R1,19988005-1
C525506,ISPERIN® 3 MG,1R1027421002103-RISPERIDONA 3 MG TABLETAS DE LIBERACIÓN NO MODIFICADA ORAL (ISPERIN) TABLETA 1 U/CAJA X 30 CAJA PLEGADIZA POR 30 TABLETAS EN BLÍSTER ALUMINIO/PVDC TRANSPARENTE,INVIMA 2021M-0020340,20160725-2
C074171,PRAGMATEN® 20 MG CAPSULAS,GENÉRICOSIN DATOFLUOXETINA PARA LA PRESENTACIÓN USO INSTITUCIONAL PROHIBIDA SU VENTA DE CAJA POR 300 CÁPSULAS EN BLISTER,INVIMA 2017M-012120-R3,38369-11
C131122,EGIDON ® 3.5 MG POLVO LIOFILIZADO PARA RECONSTITUIR A SOLUCION INYECTABLE,ESTUCHE CON VIAL INCOLORO. TAPON GRIS. PROSPECTO Y DOS ETIQUETAS DE ALTA SEGURIDAD.,INVIMA 2019M-0019398,20152568-1
C049893,PREPODYNE SCRUB LIQUIDO,BOLSA DE POLIETILENO DE BAJA DENSIDAD CON VÁLVULA DESIN DATOPOLIETILENO LINEAL POR 850 ML DE SOLUCIÓN,INVIMA 2021M-003759-R5,38457-15
C120078,MIDAZOLAM 15 MG/3ML,CAJA X 10SIN DATOAMPOLLAS DE VIDRIO TIPO I. INCOLORO X 3ML C/U.,INVIMA 2020M-0014713-R1,20057389-2
C04113,HIDROXIDO DE ALUMINIO SUSPENSION,FRASCO PLASTICO DE POLIETILENO DE ALTA DENSIDAD BLANCO POR 360 ML,INVIMA 2021M-007508-R2,215882-1
C180032,ACIDO FOLICO TABLETAS 1 MG.,CAJA POR 1000 TABLETAS EN BLISTER PVC/ALUMINIO,INVIMA 2022M-011236-R3,35662-11
C9990550,DEXTROMETORFANO BROMHIDRATO 15MG/5ML JARABE,FRASCO PET AMBAR CON TAPA DE POLIPROPILENO BLANCO POR 120 ML,INVIMA 2023M-0006593-R2,19965223-1
C285721,FUROATO DE MOMETASONA0.1 % LOCION,CAJA CON UN FRASCO GOTERO DE POLIETILENO DE BAJA DENSIDAD POR 30 ML.,INVIMA 2023M-0009152-R1,19993253-1
C9990703,PEPRED SOLUCION,FRASCO PET AMBAR CON TAPA PILFER PROOF POLIPROPILENO X 100 ML,INVIMA 2012M-0012798,20036053-7
C370600,LIPOTIC®,CAJA CON 1 FRASCO PEAD BLANCO X 30 TABLETAS RECUBIERTAS. CON TAPA DE POLIPROPILENO BLANCA CON RANURAS EN LOS ALREDEDORES Y SUBTAPA TRANSPARENTE. LINER DE ALUMINIO.,INVIMA 2023M-0017306-R1,20104380-8
505377,METOCLOPRAMIDA 4 MG/ML GOTAS,CAJA PLEGADIZA CON UN FRASCO PEBD X 30 ML,INVIMA 2018M-0002256-R2,19933831-1
C105419,COVERSYLA 5 MG,CAJA CON UN FRASCO POR 30 COMPRIMIDOS,INVIMA 2009M-0009299,19998580-1
C2156145,LENIZAD®50,1L1012291011100 - CAJA POR 3SIN DATOBLÍSTERS DESIN DATOPVC/PVDC - ALUMINIO POR 10 TABLETAS 50 MG DE LACOSAMIDASIN DATOC/U,INVIMA 2021M-0020290,20166087-1
C080728,ALONAT®,CAJA POR 1 VIAL DE VIDRIO TIPO I CON TAPÓN GRIS DE CLOROBUTILO Y SELLO DE ALUMINIO FLIP-OFF,INVIMA 2023M-0018328-R1,20139847-1
C060926,NORDIXATE®,CAJA CON UNA JERINGA PRELLENADA DE 1.0 ML QUE CONTIENE 25 MG DE METOTREXATO. AGUJA INTEGRADA Y ENSAMBLADA. EMPACADA EN BLÍSTER INDIVIDUAL. NUMERO IUMSIN DATO1M1005531008107 METOTREXATO 25.0 MG OTRAS SOLUCIONES SUBCUTANEA (NORDIXATE) JERINGA 1.00ML / CAJA X 1,INVIMA 2021M-0020363,20173957-5
C505213,HIDROXICINA CLORHIDRATO 25 MG TABLETAS,1H1022111001100SIN DATOHIDROXICINA 25.0000 MG TABLETAS DE LIBERACION NO MODIFICADA ORAL (PENTACOOP) TABLETA 1.0000U / CAJA X 20. CAJA POR 20 TABLETAS EN BLISTER PVC/FOIL ALUMINIO,INVIMA 2023M-0001566-R2,19929642-3
C9991285,JEVTANA ®60 MG / 1.5 ML SOLUCION CONCENTRADA PARA INFUSIÓN,CAJA CON VIAL DE VIDRIO TIPO I INCOLORO POR 1.5 ML DE SOLUCIÓN. TAPÓN DE CAUCHO . AGRAFE DE ALUMINIO CON TAPA DE PLÁSTICO FLIP-OFF + 1 VIAL DE VIDRIO TIPO I POR 4.5 ML DE DILUYENTE,INVIMA 2023M-0012742-R2,20039453-1
C00329,ACIDO ACETILSALICILICO 100 MG,CAJA POR 900 TABLETAS EN BLISTER ALUMINIO PVC/PVDC TRANSPARENTE INCOLORO POR 30 TABLETAS CADA UNO.,INVIMA 2013M-0002447-R1,19936296-11
C400016,FIRIALTA® 20MG TABLETAS RECUBIERTAS,CAJA CON 28 TABLETAS RECUBIERTAS (2 BLÍSTER CON 14 TABLETAS C/U) EN BLÍSTER AL/PVC/PVDC,INVIMA 2024M-0021607,20202924-1
C889748,LEVOTIROXINA 75 MCG,PRESENTACION INSTITUCIONAL : CAJA PLEGADIZASIN DATOPOR 150SIN DATOTABLETASSIN DATOEN BLISTER PVC/PE/PVDC/ALUMINIOSIN DATOPOR 30 TABLETAS CADA BLISTER,INVIMA 2023M-0012602-R2,20027702-31
C16520,METRONIDAZOL SUSPENSION,FRASCO PET AMBAR X 120 ML CON TAPA TAPA PLASTICA,INVIMA 2009 M-008929 R2,27222-5
C023303,REAMPLA®,1P1016481001103 - PALBOCICLIB 100.0000 MG CAPSULAS DE LIBERACION NO MODIFICADA ORAL (REAMPLA) CAPSULA 1.0000U / CAJA X 21,INVIMA 2023M-0018499-R1,20145979-2
C0625511,INSPRA® 25 MG TABLETAS RECUBIERTAS,CAJA X 30 TABLETAS RECUBIERTAS EN BLISTER PVC BLANCO OPACO/ALUMINIO,INVIMA 2023M-0013745-R2,20047198-3
C420092,CONCOR ® AM 5 MG / 10 MG,CAJA POR 30 TABLETAS EN BLISTER AL/AL,INVIMA 2023M-0014354-R2,20040649-3
C180030,ACIDO FOLICO TABLETAS 1 MG.,CAJA POR 600 TABLETAS EN BLISTER PVC/ ALUMINIO X 10 TABLETAS,INVIMA 2022M-011236-R3,35662-18
C9950,TRUVADA® 300/200,CAJA X 30 TABLETAS RECUBIERTAS EN FRASCO PEAD BLANCO,INVIMA 2020M-0011113-R2,20009816-1
C01575,ENSPRYNG® SATRALIZUMAB 120MG/ML,CAJA POR 1 JERINGA PRELLENADA DE POLÍMERO INCOLOROSIN DATOCONTENIENDO 1ML DE SOLUCIÓN. CON UNA AGUJA DE ACERO INOXIDABLE CON ESTACAS. EQUIPADA CON UN PROTECTOR DE AGUJA RÍGIDO DE CAUCHO BUTÍLICO CLORADO-POLIPROPILENO Y SELLADA CON UN EMBOLO DE CAUCHO BUTÍLICO CLORADO.SIN DATO,INVIMA 2022MBT-0000052,20174435-1
C253509,VASOGRELOR® 60 MG TABLETAS RECUBIERTAS,1T1014231002101 - TICAGRELOR 60.0000 MG TABLETAS DE LIBERACION NO MODIFICADA ORAL (VASOGRELOR) TABLETA 1.0000U / CAJA X 30 - BLÍSTER EN PVC/PVDC TRANSPARENTE/ALUMINIO POR 30 TABLETAS EN CAJA PLEGADIZA,INVIMA 2021M-0020523,20201954-2
C121830,ISBELA®,CAJA POR 21 TABLETAS RECUBIERTAS EN EMPAQUESIN DATOTIPO BLISTER CALENDARIO PVC/PVDC TRANSP/ALUMINIO,INVIMA 2023M-0009417-R2,20001614-1
C700450,SERTRALINA MK 50 MG TABLETAS RECUBIERTAS,CAJA POR 30 TABLETAS EN BLISTER PVC (BLANCO OPACO) /ALUMINIO POR 10 TABLETAS.,INVIMA 2019M-0001385-R2,19928497-3
C253500,VIRALNICH® TABLETAS RECUBIERTAS,2A1014501003100. CAJA CON FRASCO EN PEAD BLANCO. TAPA PP BLANCA Y FOIL. CON 30 TABLETAS RECUBIERTAS.,INVIMA 2019M-0019505,20166433-1
C585066,IBANDRON 6MG / 6ML SOLUCIÓN CONCENTRADA PARA INFUSIÓN,1I1027351000100 ACIDO IBANDRONICO 1.0000 MG OTRAS SOLUCIONES INTRAVENOSA (IBANDRON) VIAL 6.0000ML / CAJA X 1 - CAJA POR UN VIAL DE VIDRIO TIPO I TRANSPARENTE. CON TAPÓN DE CAUCHO DE BROMOBUTILO COLOR ROJO. AGRAFE DE ALUMINIO COLOR VERDE Y FLIP-CAP,INVIMA 2019M-0019374,20139167-1
C285071,GIANDA® TABLETAS RECUBIERTAS,CAJA X 21 TABLETAS RECUBIERTAS EN BLISTER PVC/PVDC/ALUMINIO,INVIMA 2019M-0009887-R1,20005233-1
C585474,TARCEVA® 150 MG TABLETAS RECUBIERTAS,ERLOTINIB 150.0000 MG TABLETAS DE LIBERACION NO MODIFICADA ORAL (TARCEVA) TABLETA 1.0000U / CAJA X 30. CAJA POR 3 BLISTER EN ALUMINIO / PVC POR 10 TABLETAS RECUBIERTAS MAS UN INSERTO,INVIMA 2022M-0005697-R2,19961228-1
C525478,INFLAXEN 20 MG,CAJA POR 30 CÁPSULAS BLANDAS DE GELATINA EN EMPAQUE INDIVIDUAL TIPO BLISTER ALUMINIO/ALUMINIO POR 10 CÁPSULAS BLANDAS.,INVIMA 2017M-0006032-R1,19963298-2
595070,ANESTECIN® CREMA,- UN (1) TUBO COLAPSIBLE DE ALUMINIO POR 5 G EN CAJA PLEGADIZA.,INVIMA 2023M-013170-R2,218965-2
C695215,DUO-DECADRON SUSPENSION INYECTABLE POR 2ML,CAJA XSIN DATO1 AMPOLLA DE VIDRIO TIPO ISIN DATOTRANSPARENTESIN DATO CONSIN DATO2 ML/ AMPOLLA,INVIMA 2021M-010674-R2,28346-1
C9990336,HCQS®,CAJA POR 30 TABLETAS EN 1 BLÍSTER ALUMINIO/PVC COLOR DURAZNO,INVIMA 2020M-0008212-R1,19989858-1
C275523T,DOVATO® 50MG + 300MG TABLETAS RECUBIERTAS CON PELÍCULA,2D1037441000100 CAJA CON FRASCO OPACO. BLANCO. REDONDO DE POLIETILENO DE ALTA DENSIDAD CON TAPA DE SEGURIDAD PARA NIÑOS DE POLIPROPILENO QUE INCLUYE UNA CAPA INTERIOR DE POLITILENO SELLADA POR INDUCCION CON 30 TABLETAS RECUBIERTAS.,INVIMA 2021M-0020330,20171830-1
C560130,DUSPATALIN® CÁPSULA DE LIBERACIÓN PROLONGADA 200 MG,CAJA X 30 CAPSULAS EN BLISTER ALUMINIO/ALUMINIO,INVIMA 2021M-013424-R2,19902103-1
C265750,PIROXICAM 20 MG TABLETAS,CAJA POR 10 TABLETAS EN BLÍSTER PVC/PVDC TRANSPARENTE INCOLORO Y ALUMINIO.,INVIMA 2021M-008406-R4,25880-1
